user_id,age,gender,height_cm,weight_kg,bmi,goal,activity_level,equipment_access,sleep_hours,days_since_last_workout,weekly_workouts,completion_rate,recovery_score,recommended_workout,intensity_level,estimated_duration_min,estimated_calories,completed_workout
U1020,37,Male,195,89.7,23.6,Build Muscle,Intermediate,Mixed,7.5,8,3,0.99,64,Pull,2,53,548,1
U1021,38,Female,160,54,21.1,Gain Strength,Intermediate,Gym,6.5,0,0,0.88,76,Push,2,56,399,1
U1022,27,Female,152,51.5,22.3,Improve Fitness,Beginner,Gym,7.7,1,2,0.74,86,Upper Body,1,65,708,1
U1023,18,Male,171,63.2,21.6,Gain Strength,Beginner,Home,6.7,3,2,0.65,50,Push,1,60,481,1
U1024,43,Male,164,69.1,25.7,Build Muscle,Beginner,Gym,7.4,1,6,0.72,68,Pull,1,48,451,1
U1025,26,Male,156,45.3,18.6,Lose Weight,Beginner,Home,6.6,6,4,0.66,59,Recovery,1,23,149,1
U1026,43,Male,173,71.2,23.8,Lose Weight,Advanced,Mixed,7.5,9,2,1,74,Full Body,3,56,559,1
U1027,35,Male,162,67.2,25.6,Lose Weight,Advanced,Home,7,2,4,0.37,71,Full Body,3,40,375,1
U1028,38,Female,179,79.5,24.8,Lose Weight,Intermediate,Gym,9.5,2,5,0.69,76,Cardio,2,32,231,1
U1029,19,Male,180,79.1,24.4,Lose Weight,Intermediate,Gym,5.8,10,4,0.93,83,Cardio,2,45,493,1
U1030,45,Male,177,87.1,27.8,Build Muscle,Intermediate,Home,6.1,7,0,0.97,50,Legs,2,66,625,1
U1031,42,Female,189,96.4,27,Gain Strength,Advanced,Gym,9.5,8,3,0.54,63,Lower Body,3,48,495,1
U1032,34,Female,190,89.9,24.9,Build Muscle,Beginner,Home,6.5,3,2,0.44,73,Pull,1,57,431,1
U1033,31,Female,171,58.5,20,Lose Weight,Beginner,Gym,7.6,6,3,0.55,95,Recovery,1,20,205,1
U1034,45,Female,184,71.8,21.2,Gain Strength,Intermediate,Home,6.7,3,3,0.87,53,Pull,2,55,468,1
U1035,23,Female,158,63.7,25.5,Improve Fitness,Intermediate,Mixed,8.5,9,4,0.43,74,Upper Body,2,41,344,0
U1036,24,Female,170,74,25.6,Build Muscle,Advanced,Gym,8,6,2,0.5,52,Lower Body,3,42,437,1
U1037,38,Male,151,60.9,26.7,Improve Fitness,Beginner,Gym,7.4,2,1,0.77,77,Full Body,1,46,337,1
U1038,37,Male,160,55.3,21.6,Improve Fitness,Beginner,Gym,7.4,4,4,0.77,61,Upper Body,1,60,420,1
U1039,42,Female,193,120.3,32.3,Lose Weight,Beginner,Mixed,7.6,0,2,0.51,81,Full Body,1,56,393,1
U1040,29,Female,195,77.6,20.4,Build Muscle,Beginner,Gym,8,10,2,0.93,59,Upper Body,1,50,532,1
U1041,20,Female,178,90.3,28.5,Build Muscle,Intermediate,Home,7.6,6,2,0.87,100,Push,2,51,402,1
U1042,37,Female,185,80.4,23.5,Build Muscle,Advanced,Gym,6.3,6,3,0.56,59,Legs,3,59,410,1
U1043,25,Female,194,91.1,24.2,Build Muscle,Intermediate,Gym,7.5,8,4,0.77,84,Pull,2,54,545,1
U1044,28,Male,184,83.3,24.6,Improve Fitness,Intermediate,Gym,8.7,7,2,0.67,100,Upper Body,2,45,295,1
U1045,35,Male,167,75.6,27.1,Build Muscle,Beginner,Gym,6.2,2,5,0.53,79,Lower Body,1,54,442,1
U1046,19,Female,180,76.5,23.6,Build Muscle,Beginner,Gym,7.9,9,5,0.81,70,Upper Body,1,43,443,1
U1047,37,Male,183,70,20.9,Lose Weight,Advanced,Gym,5.4,9,3,0.64,84,Cardio,3,49,480,1
U1048,23,Male,161,65.8,25.4,Lose Weight,Beginner,Gym,5.7,9,3,0.75,77,Cardio,1,39,433,1
U1049,43,Male,177,65.2,20.8,Build Muscle,Beginner,Gym,7.3,4,6,0.73,54,Push,1,64,556,1
U1050,32,Female,194,97.9,26,Lose Weight,Beginner,Gym,7.7,7,0,0.91,87,Full Body,1,59,630,1
U1051,36,Male,193,69.7,18.7,Gain Strength,Intermediate,Home,6.1,2,3,0.81,79,Legs,2,65,575,1
U1052,31,Female,170,77.2,26.7,Gain Strength,Advanced,Gym,9.5,7,2,0.82,89,Upper Body,3,48,339,1
U1053,42,Female,182,94.4,28.5,Gain Strength,Beginner,Mixed,7.8,7,3,0.66,83,Push,1,65,509,1
U1054,22,Female,178,67.5,21.3,Improve Fitness,Intermediate,Gym,6.8,10,4,0.63,73,Upper Body,2,42,481,1
U1055,21,Female,157,84.3,34.2,Lose Weight,Beginner,Mixed,5,4,4,0.84,47,Full Body,1,55,409,1
U1056,37,Male,154,53.4,22.5,Build Muscle,Intermediate,Gym,8.3,8,2,0.73,55,Lower Body,2,54,496,1
U1057,29,Female,185,73.6,21.5,Gain Strength,Beginner,Mixed,7.8,3,5,0.59,75,Pull,1,55,608,1
U1058,30,Female,192,91.1,24.7,Gain Strength,Intermediate,Gym,6.4,0,1,1,81,Legs,2,74,748,1
U1059,31,Male,154,40.3,17,Lose Weight,Advanced,Gym,7.3,6,5,0.6,84,Cardio,3,47,510,1
U1060,19,Male,165,57.7,21.2,Lose Weight,Advanced,Mixed,7,1,3,0.81,84,Recovery,3,23,186,1
U1061,19,Female,172,57.7,19.5,Lose Weight,Beginner,Gym,6.7,9,5,0.63,62,Lower Body,1,47,422,1
U1062,36,Male,164,85.8,31.9,Lose Weight,Beginner,Gym,7.5,0,6,0.49,85,Full Body,1,45,359,1
U1063,31,Female,179,107,33.4,Gain Strength,Beginner,Gym,8.2,7,0,0.45,64,Pull,1,54,425,0
U1064,36,Male,188,105.3,29.8,Gain Strength,Intermediate,Mixed,6.3,3,4,0.8,83,Upper Body,2,64,661,1
U1065,39,Male,190,74.4,20.6,Build Muscle,Intermediate,Gym,7,7,0,0.2,56,Legs,2,58,415,0
U1066,35,Female,183,78.4,23.4,Lose Weight,Beginner,Gym,5.7,7,6,1,50,Cardio,1,33,333,1
U1067,30,Female,155,54.5,22.7,Gain Strength,Beginner,Gym,7.2,7,2,0.98,50,Upper Body,1,61,540,1
U1068,37,Female,189,105,29.4,Build Muscle,Beginner,Mixed,7.1,4,5,0.54,78,Pull,1,60,656,1
U1069,22,Female,179,81.1,25.3,Lose Weight,Advanced,Home,6.4,8,3,0.73,66,Full Body,3,60,399,1
U1070,29,Male,178,79.2,25,Lose Weight,Beginner,Gym,7.8,10,2,1,53,Full Body,1,52,361,1
U1071,24,Male,153,78.4,33.5,Gain Strength,Beginner,Gym,5,9,1,0.69,80,Push,1,52,572,0
U1072,18,Female,159,65,25.7,Improve Fitness,Intermediate,Home,6.4,1,5,0.68,64,Lower Body,2,50,328,1
U1073,26,Male,158,54.9,22,Gain Strength,Intermediate,Home,8,7,3,0.78,61,Upper Body,2,63,695,1
U1074,39,Female,179,90.7,28.3,Lose Weight,Beginner,Mixed,7.4,6,3,0.87,81,Full Body,1,42,299,1
U1075,37,Female,174,63.6,21,Improve Fitness,Intermediate,Gym,6.5,9,3,0.85,81,Full Body,2,60,525,1
U1076,25,Female,171,71.3,24.4,Gain Strength,Beginner,Home,7.2,5,3,0.95,63,Pull,1,60,417,1
U1077,21,Female,158,66.9,26.8,Lose Weight,Intermediate,Home,6.9,5,5,0.68,88,Cardio,2,43,403,1
U1078,24,Male,192,103.2,28,Lose Weight,Intermediate,Gym,8,8,2,0.95,72,Cardio,2,48,508,1
U1079,37,Male,188,96.8,27.4,Improve Fitness,Intermediate,Gym,6.8,2,2,0.78,70,Upper Body,2,44,430,1
U1080,20,Male,190,89.9,24.9,Improve Fitness,Beginner,Gym,7.8,6,3,0.57,100,Cardio,1,41,283,1
U1081,19,Male,160,52,20.3,Gain Strength,Beginner,Gym,5.8,7,5,0.93,83,Legs,1,61,527,1
U1082,27,Female,183,90.8,27.1,Gain Strength,Beginner,Gym,7.8,9,0,0.72,58,Push,1,69,451,0
U1083,41,Female,161,64.3,24.8,Build Muscle,Intermediate,Gym,6.4,8,6,0.9,69,Upper Body,2,40,444,1
U1084,45,Female,186,72.7,21,Lose Weight,Beginner,Home,6.7,4,0,0.79,63,Full Body,1,59,512,1
U1085,21,Male,177,65.8,21,Lose Weight,Intermediate,Gym,7.4,4,5,0.76,64,Cardio,2,35,261,1
U1086,42,Female,172,66.6,22.5,Gain Strength,Intermediate,Mixed,7.4,3,0,0.46,50,Push,2,49,361,0
U1087,42,Female,179,68.9,21.5,Gain Strength,Intermediate,Gym,6.9,9,5,0.78,94,Legs,2,47,453,1
U1088,43,Female,187,98.3,28.1,Build Muscle,Intermediate,Gym,6.9,7,0,0.72,56,Push,2,47,414,1
U1089,35,Male,178,77.3,24.4,Improve Fitness,Intermediate,Gym,6.8,9,3,0.78,59,Cardio,2,44,428,1
U1090,19,Male,195,101.5,26.7,Lose Weight,Beginner,Gym,8.8,2,2,0.7,78,Cardio,1,42,438,1
U1091,38,Female,154,65,27.4,Build Muscle,Intermediate,Gym,6.7,4,5,0.76,72,Lower Body,2,49,555,1
U1092,40,Female,158,62.2,24.9,Lose Weight,Advanced,Gym,6.2,6,5,0.72,79,Lower Body,3,51,336,1
U1093,27,Male,163,81.3,30.6,Build Muscle,Intermediate,Gym,8.2,2,1,1,60,Push,2,68,739,1
U1094,37,Male,188,99.7,28.2,Lose Weight,Beginner,Mixed,7.3,9,6,1,59,Recovery,1,34,324,1
U1095,42,Female,164,56.5,21,Lose Weight,Beginner,Mixed,6.4,7,6,0.34,64,Cardio,1,44,498,1
U1096,44,Male,188,75.3,21.3,Build Muscle,Beginner,Home,7.3,5,4,0.78,100,Full Body,1,42,303,1
U1097,31,Male,164,76.7,28.5,Gain Strength,Advanced,Mixed,6.5,6,0,0.56,79,Pull,3,56,624,1
U1098,44,Female,159,48,19,Build Muscle,Beginner,Mixed,9.1,2,6,0.93,64,Upper Body,1,46,425,1
U1099,41,Female,157,42.6,17.3,Gain Strength,Beginner,Gym,8.6,3,3,0.7,90,Legs,1,62,562,1
U1100,25,Male,168,50.2,17.8,Lose Weight,Intermediate,Gym,6.4,6,1,0.72,72,Full Body,2,51,583,1
U1101,35,Male,174,68.4,22.6,Improve Fitness,Beginner,Gym,7.8,5,2,0.53,69,Upper Body,1,60,621,1
U1102,41,Female,158,62.4,25,Build Muscle,Intermediate,Mixed,7.7,2,6,0.85,55,Upper Body,2,42,435,1
U1103,32,Male,168,51.1,18.1,Build Muscle,Intermediate,Mixed,8.5,5,2,0.78,60,Legs,2,51,551,1
U1104,19,Female,167,86.5,31,Build Muscle,Beginner,Mixed,7.2,7,3,0.93,73,Pull,1,70,483,1
U1105,31,Male,177,104,33.2,Lose Weight,Intermediate,Gym,9,5,0,0.68,86,Cardio,2,39,340,1
U1106,32,Male,172,80.5,27.2,Lose Weight,Beginner,Home,8.6,0,0,0.55,82,Full Body,1,56,403,1
U1107,37,Female,152,66.8,28.9,Build Muscle,Beginner,Home,5.2,5,3,0.51,41,Full Body,1,44,383,0
U1108,20,Male,183,78.4,23.4,Lose Weight,Beginner,Gym,7.9,1,0,0.99,73,Full Body,1,52,521,1
U1109,24,Female,194,117.8,31.3,Improve Fitness,Intermediate,Gym,5.6,1,3,0.41,71,Full Body,2,50,460,0
U1110,27,Male,195,99.2,26.1,Gain Strength,Intermediate,Gym,7.1,5,4,0.35,70,Pull,2,60,561,0
U1111,32,Male,189,67.9,19,Improve Fitness,Beginner,Gym,7.8,7,4,0.79,57,Cardio,1,48,423,1
U1112,34,Female,158,55.7,22.3,Improve Fitness,Intermediate,Home,5.9,2,6,0.71,86,Recovery,2,33,241,1
U1113,40,Male,172,60.4,20.4,Improve Fitness,Intermediate,Gym,7.7,1,2,0.62,60,Full Body,2,60,582,1
U1114,36,Male,160,61.7,24.1,Gain Strength,Intermediate,Home,6,9,0,0.62,54,Upper Body,2,48,362,0
U1115,36,Female,189,117.2,32.8,Lose Weight,Intermediate,Home,7.1,4,5,0.59,75,Recovery,2,35,255,1
U1116,31,Female,179,76.9,24,Build Muscle,Intermediate,Gym,6.9,5,5,0.83,83,Full Body,2,44,356,1
U1117,32,Male,167,62.2,22.3,Lose Weight,Beginner,Gym,6.5,6,6,0.67,37,Full Body,1,50,364,1
U1118,34,Female,181,59.3,18.1,Improve Fitness,Intermediate,Gym,8.6,6,4,1,68,Cardio,2,36,341,1
U1119,44,Female,168,75.9,26.9,Lose Weight,Intermediate,Gym,7.4,4,5,1,88,Cardio,2,41,340,1
U1120,27,Male,174,72.7,24,Lose Weight,Intermediate,Gym,6,9,5,0.43,75,Full Body,2,52,534,1
U1121,24,Female,182,70.6,21.3,Build Muscle,Beginner,Home,5.5,7,4,0.6,55,Legs,1,57,610,1
U1122,36,Female,182,104.7,31.6,Gain Strength,Intermediate,Home,8.1,4,3,0.72,94,Upper Body,2,65,705,1
U1123,38,Male,188,87.7,24.8,Lose Weight,Advanced,Home,6.2,9,4,0.99,80,Cardio,3,48,497,1
U1124,30,Male,193,74.9,20.1,Build Muscle,Intermediate,Home,6.9,3,0,0.56,51,Legs,2,58,554,1
U1125,33,Male,195,108,28.4,Build Muscle,Beginner,Gym,9.2,10,3,0.47,80,Legs,1,62,642,1
U1126,41,Female,189,77.9,21.8,Lose Weight,Advanced,Gym,6.6,4,1,0.61,59,Recovery,3,29,239,1
U1127,43,Female,168,69.7,24.7,Build Muscle,Intermediate,Gym,6.2,6,6,0.77,71,Pull,2,67,655,1
U1128,41,Female,163,62.4,23.5,Build Muscle,Intermediate,Mixed,6.1,4,1,0.62,83,Push,2,66,446,1
U1129,31,Female,195,101.1,26.6,Lose Weight,Intermediate,Gym,6,8,1,0.74,83,Full Body,2,60,475,1
U1130,19,Male,191,63.8,17.5,Lose Weight,Intermediate,Home,7.7,0,1,0.6,80,Full Body,2,52,565,1
U1131,18,Female,186,73.7,21.3,Lose Weight,Advanced,Gym,5.1,7,5,0.43,72,Full Body,3,56,456,1
U1132,41,Female,191,93.4,25.6,Build Muscle,Beginner,Home,6.1,4,4,0.83,47,Upper Body,1,53,431,1
U1133,30,Male,161,62.7,24.2,Improve Fitness,Intermediate,Mixed,5.8,0,2,0.6,72,Full Body,2,50,390,1
U1134,29,Male,153,48.9,20.9,Gain Strength,Intermediate,Gym,6.7,10,4,0.9,63,Lower Body,2,47,530,1
U1135,33,Male,179,89.7,28,Gain Strength,Intermediate,Gym,5.9,8,3,0.82,93,Upper Body,2,54,541,1
U1136,20,Male,153,39.8,17,Gain Strength,Advanced,Gym,6.2,8,1,0.82,68,Push,3,67,584,1
U1137,19,Female,158,65.2,26.1,Lose Weight,Intermediate,Gym,6.4,7,5,0.74,69,Lower Body,2,42,282,1
U1138,29,Male,184,99.5,29.4,Improve Fitness,Advanced,Gym,7.4,7,0,0.78,65,Full Body,3,60,687,1
U1139,30,Female,174,68.1,22.5,Lose Weight,Intermediate,Home,6.6,8,1,0.79,65,Full Body,2,45,512,1
U1140,44,Male,151,58.6,25.7,Improve Fitness,Intermediate,Home,9.4,6,4,0.88,67,Full Body,2,54,557,1
U1141,19,Female,189,105.4,29.5,Gain Strength,Advanced,Gym,6.7,3,0,0.35,56,Push,3,66,673,0
U1142,30,Female,164,45.7,17,Lose Weight,Intermediate,Home,6.7,2,4,0.72,97,Recovery,2,27,207,1
U1143,22,Male,176,80.2,25.9,Build Muscle,Beginner,Mixed,6.9,2,5,0.87,38,Upper Body,1,65,526,1
U1144,31,Female,159,64.5,25.5,Build Muscle,Beginner,Gym,7.9,3,6,0.45,89,Pull,1,58,530,1
U1145,30,Male,166,71.4,25.9,Build Muscle,Intermediate,Mixed,6.6,5,0,0.83,100,Legs,2,64,695,1
U1146,24,Male,180,82,25.3,Build Muscle,Advanced,Gym,7.4,0,1,0.64,59,Full Body,3,47,520,1
U1147,35,Female,168,79,28,Lose Weight,Intermediate,Gym,6.2,4,2,0.73,64,Full Body,2,43,476,1
U1148,29,Female,176,82.1,26.5,Build Muscle,Advanced,Home,7.5,0,2,0.91,64,Legs,3,52,554,1
U1149,33,Female,166,64.5,23.4,Gain Strength,Intermediate,Home,6,7,3,0.64,77,Push,2,68,778,1
U1150,19,Male,154,65.7,27.7,Improve Fitness,Intermediate,Home,6.1,6,1,0.88,92,Lower Body,2,51,346,1
U1151,38,Female,192,96.6,26.2,Lose Weight,Beginner,Home,9.2,0,0,0.58,53,Full Body,1,49,423,1
U1152,23,Male,156,41.4,17,Lose Weight,Beginner,Home,8.7,4,6,0.84,71,Cardio,1,32,244,1
U1153,39,Male,191,93.8,25.7,Improve Fitness,Intermediate,Gym,5.9,6,3,1,73,Full Body,2,60,643,1
U1154,38,Female,186,86.5,25,Improve Fitness,Advanced,Mixed,7.9,0,1,0.81,75,Full Body,3,41,382,1
U1155,19,Male,170,61.3,21.2,Build Muscle,Beginner,Gym,7.6,6,0,1,92,Pull,1,62,632,1
U1156,43,Male,182,103.3,31.2,Gain Strength,Beginner,Gym,6.5,3,6,0.54,70,Push,1,65,496,1
U1157,35,Female,177,77.4,24.7,Build Muscle,Intermediate,Gym,8.3,9,2,0.42,94,Lower Body,2,60,436,0
U1158,30,Female,173,71.2,23.8,Build Muscle,Beginner,Gym,6.6,5,6,0.54,47,Pull,1,59,503,1
U1159,18,Male,172,82.8,28,Lose Weight,Intermediate,Home,7.2,6,0,0.49,52,Cardio,2,32,268,0
U1160,22,Female,169,66,23.1,Build Muscle,Beginner,Gym,8.9,4,3,0.67,49,Pull,1,68,651,1
U1161,32,Male,158,58.7,23.5,Build Muscle,Advanced,Gym,6.8,9,3,0.23,71,Lower Body,3,49,397,0
U1162,40,Male,180,76.1,23.5,Build Muscle,Advanced,Mixed,7.9,4,5,1,88,Upper Body,3,65,541,1
U1163,36,Male,187,81.8,23.4,Improve Fitness,Beginner,Home,5.9,0,5,1,72,Cardio,1,44,376,1
U1164,33,Male,190,88.8,24.6,Build Muscle,Beginner,Gym,7.1,6,6,0.76,69,Pull,1,57,489,1
U1165,19,Female,194,83.2,22.1,Improve Fitness,Intermediate,Home,6.5,1,0,0.71,63,Upper Body,2,60,584,1
U1166,42,Female,177,67.4,21.5,Build Muscle,Beginner,Gym,7.2,8,4,0.67,94,Legs,1,69,686,1
U1167,22,Female,151,38.8,17,Lose Weight,Beginner,Mixed,8.3,1,0,0.94,40,Lower Body,1,56,499,1
U1168,33,Male,178,73.2,23.1,Gain Strength,Intermediate,Gym,6.7,0,6,0.47,60,Upper Body,2,45,347,1
U1169,23,Male,171,57.9,19.8,Lose Weight,Advanced,Gym,9,6,5,0.89,91,Cardio,3,42,397,1
U1170,30,Male,195,104.6,27.5,Build Muscle,Beginner,Home,5.9,1,4,0.63,79,Push,1,51,551,1
U1171,34,Female,188,68.6,19.4,Lose Weight,Beginner,Gym,7.9,5,6,0.68,66,Full Body,1,59,418,1
U1172,27,Male,161,71.3,27.5,Lose Weight,Beginner,Gym,7.6,9,1,0.66,89,Full Body,1,55,510,1
U1173,33,Female,158,49.9,20,Build Muscle,Intermediate,Home,7.8,5,0,0.83,67,Legs,2,60,537,1
U1174,40,Female,181,84.9,25.9,Build Muscle,Intermediate,Home,5.7,3,2,0.89,69,Push,2,50,518,1
U1175,33,Male,186,77.1,22.3,Build Muscle,Intermediate,Mixed,8.3,5,4,0.59,50,Lower Body,2,60,615,1
U1176,27,Male,178,57,18,Build Muscle,Advanced,Gym,7.8,1,6,0.49,98,Lower Body,3,45,431,1
U1177,43,Male,163,45.2,17,Gain Strength,Intermediate,Gym,9,9,4,0.76,70,Push,2,53,380,1
U1178,42,Female,153,52,22.2,Improve Fitness,Advanced,Gym,7.5,2,1,0.71,88,Full Body,3,52,501,1
U1179,30,Female,154,59.3,25,Lose Weight,Advanced,Gym,7.3,8,5,0.65,71,Cardio,3,44,306,1
U1180,32,Female,154,61.2,25.8,Gain Strength,Beginner,Mixed,5.2,3,3,0.48,83,Pull,1,49,402,1
U1181,39,Male,152,58.2,25.2,Build Muscle,Intermediate,Gym,6.9,1,6,0.72,77,Push,2,51,408,1
U1182,45,Female,155,53.3,22.2,Gain Strength,Beginner,Gym,6.2,10,1,0.76,57,Push,1,65,491,0
U1183,20,Male,187,91.6,26.2,Build Muscle,Intermediate,Gym,5.2,5,6,0.91,79,Push,2,47,494,1
U1184,21,Female,173,76.6,25.6,Improve Fitness,Beginner,Home,8.2,2,5,1,87,Recovery,1,24,208,1
U1185,41,Male,190,61.4,17,Gain Strength,Advanced,Home,5.7,7,6,0.61,72,Pull,3,68,548,1
U1186,22,Male,167,74.5,26.7,Lose Weight,Beginner,Home,6.3,9,2,0.75,60,Lower Body,1,63,532,1
U1187,38,Male,165,59.6,21.9,Lose Weight,Beginner,Gym,5.6,9,0,0.55,51,Full Body,1,50,416,0
U1188,39,Male,180,66.1,20.4,Improve Fitness,Intermediate,Gym,8.3,1,0,0.55,100,Full Body,2,52,537,1
U1189,31,Female,155,63.9,26.6,Lose Weight,Intermediate,Gym,7.3,1,2,0.57,82,Cardio,2,34,362,1
U1190,39,Male,169,63.1,22.1,Gain Strength,Intermediate,Mixed,7.2,0,1,1,70,Push,2,64,653,1
U1191,41,Male,157,72.2,29.3,Build Muscle,Beginner,Gym,6.3,7,2,0.71,98,Legs,1,69,754,1
U1192,42,Male,171,64,21.9,Gain Strength,Beginner,Gym,9.1,9,5,0.85,63,Push,1,46,383,1
U1193,26,Male,186,94.1,27.2,Gain Strength,Beginner,Home,8.2,0,0,0.83,48,Lower Body,1,45,502,1
U1194,45,Male,185,73.2,21.4,Gain Strength,Intermediate,Home,6.8,3,2,0.71,81,Pull,2,56,616,1
U1195,23,Male,183,84.4,25.2,Improve Fitness,Advanced,Gym,5.6,7,6,0.79,81,Full Body,3,42,334,1
U1196,43,Female,189,96.1,26.9,Build Muscle,Beginner,Mixed,8.3,3,5,0.87,78,Full Body,1,40,387,1
U1197,40,Male,171,70.8,24.2,Build Muscle,Intermediate,Mixed,5.3,4,0,0.8,75,Push,2,46,309,1
U1198,25,Female,194,96.3,25.6,Improve Fitness,Intermediate,Home,5.7,9,0,0.53,87,Cardio,2,32,245,0
U1199,26,Female,175,74.4,24.3,Gain Strength,Intermediate,Gym,7.8,4,1,0.73,72,Push,2,48,423,1
U1200,31,Male,184,96.2,28.4,Lose Weight,Intermediate,Gym,6.5,7,2,0.74,65,Lower Body,2,46,491,1
U1201,28,Male,155,54.5,22.7,Gain Strength,Advanced,Gym,6.8,0,5,0.76,64,Pull,3,62,432,1
U1202,21,Male,157,73.5,29.8,Build Muscle,Intermediate,Mixed,6.1,2,1,0.69,65,Lower Body,2,42,277,1
U1203,20,Male,191,111.6,30.6,Lose Weight,Beginner,Mixed,7.3,5,0,0.91,49,Cardio,1,31,278,1
U1204,30,Female,161,66.4,25.6,Lose Weight,Advanced,Gym,8.1,7,1,0.73,87,Cardio,3,50,340,1
U1205,26,Female,158,55.7,22.3,Lose Weight,Intermediate,Home,8.7,3,5,1,66,Recovery,2,20,221,1
U1206,34,Female,174,68.4,22.6,Build Muscle,Beginner,Home,8.7,0,6,1,64,Upper Body,1,47,329,1
U1207,39,Male,167,63.3,22.7,Lose Weight,Intermediate,Home,6.8,3,4,0.48,58,Lower Body,2,65,662,1
U1208,29,Male,195,77.2,20.3,Gain Strength,Advanced,Home,6.3,9,1,0.71,75,Upper Body,3,42,321,1
U1209,25,Male,183,103.8,31,Lose Weight,Beginner,Home,6,2,2,0.9,68,Full Body,1,40,282,1
U1210,34,Female,154,57.6,24.3,Lose Weight,Advanced,Gym,7.8,1,2,0.52,77,Cardio,3,35,283,1
U1211,40,Female,164,67.8,25.2,Gain Strength,Intermediate,Gym,7.6,4,1,0.77,100,Push,2,69,558,1
U1212,43,Male,190,78.7,21.8,Lose Weight,Advanced,Gym,6.5,1,1,0.61,63,Cardio,3,35,382,1
U1213,32,Male,166,60.1,21.8,Build Muscle,Intermediate,Gym,8.4,1,5,0.98,63,Push,2,50,461,1
U1214,21,Female,186,72.7,21,Gain Strength,Intermediate,Gym,7.6,1,6,0.62,81,Upper Body,2,50,546,1
U1215,23,Male,185,86.9,25.4,Improve Fitness,Advanced,Gym,5.4,9,3,1,98,Upper Body,3,41,334,1
U1216,24,Female,194,82.4,21.9,Lose Weight,Advanced,Gym,6.7,10,2,0.77,77,Cardio,3,31,209,1
U1217,18,Female,155,65.6,27.3,Build Muscle,Intermediate,Home,9.3,3,0,0.69,60,Push,2,47,489,1
U1218,33,Female,192,68.9,18.7,Build Muscle,Intermediate,Gym,6.3,5,3,0.71,98,Pull,2,59,549,1
U1219,22,Male,155,53.6,22.3,Gain Strength,Intermediate,Gym,7.3,9,1,0.72,89,Legs,2,72,785,1
U1220,33,Female,155,84.3,35.1,Lose Weight,Advanced,Gym,6.5,9,4,0.63,87,Lower Body,3,46,328,1
U1221,31,Male,193,102.1,27.4,Lose Weight,Advanced,Home,9.1,9,2,0.83,66,Cardio,3,32,291,1
U1222,45,Male,194,101.6,27,Lose Weight,Intermediate,Gym,8.3,6,1,0.87,79,Cardio,2,33,359,1
U1223,31,Female,174,87.8,29,Gain Strength,Intermediate,Gym,8.4,2,2,0.97,81,Legs,2,52,461,1
